Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tra,351,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Steuereinrichtung,,S,zaehler.geraete,geraetenummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = CONTROLLER
DEVICE_MACO_DATA",CONDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,352,CAV,C,D,99,1,4,Technische Steuereinrichtungstyp,"CAV+RSU
CAV+TSU","Rundsteuerempfänger
Tarifschaltuhr",,S,zaehler.geraete.geraeteeigenschaften,"
geraetemerkmal (ENUM)
","RSU = RUNDSTEUEREMPFAENGER
TSU = TARIFSCHALTGERAET","macoDevices.macoDeviceCapabilities.deviceControlType
DEVICE_MACO_DATA",CONDEV_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Smartmeter-Gateway,,,,,,,,,,,Soll,,,,,,,,,,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,Soll,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Kann,Soll,,Soll,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,Soll,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,353,SEQ,M,M,1,1,2,Smartmeter-Gateway,SEQ+Z13,"Z13 Smartmeter Gateway
ZC3 Erwartetes Smartmeter Gateway
ZC4 Im System vorhandenes Smartmeter Gateway
ZG0 Informative Smartmeter Gateway
+
Referenz auf Zeitraum ID",,S,ZAEHLER,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z13 -> GUELTIGE_DATEN
ZC3 -> ERWARTETE_DATEN
ZC4 -> IM_SYSTEM_VORHANDENE_DATEN
ZG0 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Smartmeter-Gateway,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,354,CCI,M,M,1,1,3,Smartmeter-Gateway,CCI+++Z75,Smartmeter-Gateway,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = SMARTMETERGATEWAY,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,355,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Smartmeter-Gateway,,S,zaehler.geraete,geraetenummer,,"macoDevices.macoRelatedSmartMeterDevices.serialNumber
DEVICE_MACO_DATA",MELO_METERING,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Daten der Steuerbox,,,,,,,,,,,Soll S,,,,,,,,,,,Soll S,Soll S,,,,,Soll S,,,,,,,,,,,,,,,,,Soll S,Soll S,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,Kann S,Soll S,,Kann S,Kann S,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll S,,Soll S,Soll S,,,,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,356,SEQ,M,M,1,1,2,Daten der Steuerbox,SEQ+Z14+2,"Z14 Steuerbox
ZH3 Erwartete Daten der Steuerbox
ZH4 Im System vorhandene Daten der Steuerbox
+
Referenz auf Zeitraum ID",,S,ZAEHLER,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z14 -> GUELTIGE_DATEN
ZH3 -> ERWARTETE_DATEN
ZH4 -> IM_SYSTEM_VORHANDENE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,357,RFF,C,D,9,1,3,Referenz auf das Smartmeter-Gateway,RFF+Z14:XXXXXXXXXXX,Gerätenummer Smartmeter-Gateway,,S,zaehler,gateway,,"macoDevices.macoRelatedSmartMeterDevices.serialNumber
DEVICE_MACO_DATA",CTLBOX_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,358,RFF,C,D,9,9,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXX,Marktlokation,,S,ZAEHLER,marktlokationsId,,"macoDevices.macoPod.maloDesignations.string
DEVICE_MACO_DATA",CTLBOX_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Steuerbox,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,359,CCI,M,M,1,1,3,Steuerbox,CCI+++Z76,Steuerbox,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = STEUERBOX,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,360,CAV,C,R,99,1,4,Identifikation,CAV+Z30:::XXXXXXXXXX,Gerätenummer Steuerbox,,S,zaehler.geraete,geraetenummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = CONTROL_BOX
macoDevices.macoDeviceCapabilities.type = CONTROL_BOX
DEVICE_MACO_DATA",CTLBOX_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Profildaten,,,,,,,,,,Kann S,Muss S,,,,,,,,,,,Muss S,Muss S,,,,,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,Muss S,,Muss S,,,,,,,,,Muss,Muss,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss S,Muss S,,,,,,,,,,,,Muss,Muss,,,,,,Muss S,,Muss S,Muss S,,,,,Muss S,,Muss S,Muss S,Muss S,Muss S,,Muss ,Muss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,361,SEQ,M,M,1,1,2,Profildaten,SEQ+Z21+2,"Z21 Profildaten
Z85 Erwartete Profildaten
Z86 Im System vorhandene Profildaten
ZG1 Informative Profildaten
+
Referenz auf Zeitraum ID",,S,"bei PID 55186 (ausgehend): Datasource = INBOUND

BILANZIERUNG","datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z21 -> GUELTIGE_DATEN
Z85 -> ERWARTETE_DATEN
Z86 -> IM_SYSTEM_VORHANDENE_DATEN
ZG1 -> INFORMATIVE_DATEN",,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,X,,X,X,,,,,X,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,362,RFF,C,D,9,1,3,Versionsangabe des Profils,RFF+Z12:XXXXXXXXXXXXXX,Referenz auf ein Profil (Profil-Version),X,S,,referenzProfil,,,LOADPROFILE_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,363,RFF,C,D,9,1,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXX,Marktlokation,,S,bilanzierung,marktlokationsId,,maloDesignation,EDM_DATA,,X,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,X,,X,X,,,,,X,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Profiltyp,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,364,CCI,M,M,1,1,3,Profiltyp,"CCI+Z07++Z38
CCI+Z07++Z39
CCI+Z07++Z40
CCI+Z07++Z41
CCI+Z07++Z42
CCI+Z07++Z43
CCI+Z07++Z44
CCI+Z07++Z45
CCI+Z07++Z46
CCI+Z07++Z47
CCI+Z07++Z48
CCI+Z07++Z49
CCI+Z07++Z50
CCI+Z07++Z51
CCI+Z07++Z52
CCI+Z07++Z53
CCI+Z07++Z54
CCI+Z07++Z55
CCI+Z07++Z56
CCI+Z07++ZC6
CCI+Z07++ZC7
CCI+Z07++ZC8","Gewerbe allgemein
Gewerbe werktags 8 - 18 Uhr
Gewerbe mit starkem bis überwiegendem Verbrauch in den Abendstunden
Gewerbe durchlaufend
Gewerbe Laden/Friseur
Gewerbe Bäckerei mit Backstube
Gewerbe Wochenendbetrieb
Landwirtschaftsbetriebe allgemein
Landwirtschaftsbetriebe mit Milchwirtschaft/Nebenerwerbs-Tierzucht
Landwirtschaft ohne Milchvieh
Haushalt
Bandlast
unterbrechbare Verbrauchseinrichtung
Heizwärmespeicher
Straßenbeleuchtung
Photovoltaik-Marktlokation
Blockheizkraftwerk
sonstige verbrauchende Marktlokation
sonstige erzeugende Marktlokation
E-Mobilität Ladepunkt im öffentlichen Bereich
E-Mobilität Ladepunkt eines Haushalts
E-Mobilität Ladepunkt eines Gewerbes",X,S,,,,,LOADPROFILE_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Normiertes Profil,,,,,,,,,,,,,,,,,,,,,,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,Muss,Muss,,,,,,Muss,,Muss,Muss,,,,,Muss,,Muss,Muss,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,365,CCI,M,M,1,1,3,Normiertes Profil,"CCI+Z02++E01
CCI+Z02++Z10
CCI+Z04++E01
CCI+Z04++Z10","Standardlastprofil synthetisches Verfahren
Standardlastprofil analytisches Verfahren
Standardeinspeiseprofil synthetisches Verfahren
Standardeinspeiseprofil analytisches Verfahren",,S,bilanzierung.lastprofile,"verfahren
profilart = ""ART_STANDARDLASTPROFIL""
einspeisung","Z02 -> einspeisung = false
Z04 -> einspeisung = true
E01 -> verfahren = ""SYNTHETISCH""
Z10 -> verfahren = ""ANALYTISCH""","groupAttribution.energyDirection - FEED_IN = true / FEED_OUT = false (MALO_DATA)
groupAttributionloadProfileMethod (LOAD_PROFILE_DATA)","EDM_DATA
LOADPROFILE_DATA","X
X

","X
X

",,,,,,,,,,,"X
X

","X
X

",,,,,"X
X

","X
X

",,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,"X


","X


",,,,,,"X
X
X
X",,"X
X
X
X","X
X
X
X",,,,,X,,X,X,X,X,,"

X
","

X
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,366,CAV,C,R,99,1,4,Normiertes Profil,CAV+XXX,Code des normierten Profils,,S,bilanzierung.lastprofile,"bezeichnung 
herausgeber = ""NB""",,groupAttribution.loadProfileCode,EDM_DATA,X,X,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,X,,X,X,,,,,X,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Normierungsfaktor,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,367,CCI,M,M,1,1,3,Normierungsfaktor,"CCI+Z06++Z35
CCI+Z06++Z37","1.000.000 kWh/a
1.000.000 kW",X,S,bilanzierung,normierungsfaktor,"Z35 = 1.000.000_kWh/a
Z37 = 1.000.000_kW",,LOADPROFILE_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,99,3,Bilanzierungsgebiet,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,368,CCI,M,M,1,1,3,Bilanzierungsgebiet,CCI+Z20++XXXXXXXXXXXXXXXX,Bilanzierungsgebiet XXXXXXXXXXXXXXXX,X,S,marktlokation,bilanzierungsgebiet,,,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Profildaten der beteiligten Marktrolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,369,SEQ,M,M,1,1,2,Profildaten der beteiligten Marktrolle,SEQ+Z33,,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Normiertes Profil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,370,CCI,M,M,1,1,3,Normiertes Profil,"CCI+Z02++E01
CCI+Z02++Z10
CCI+Z04++E01
CCI+Z04++Z10","Standardlastprofil synthetisches Verfahren
Standardlastprofil analytisches Verfahren
Standardeinspeiseprofil synthetisches Verfahren
Standardeinspeiseprofil analytisches Verfahren",,S,"ausgehend:

bilanzierung.lastprofile

eingehend:

bilanzierung..datenDerBeteiligtenMarktrolle.lastprofile","verfahren
profilart = ""ART_STANDARDLASTPROFIL""
einspeisung","Z02 -> einspeisung = false
Z04 -> einspeisung = true
E01 -> verfahren = ""SYNTHETISCH""
Z10 -> verfahren = ""ANALYTISCH""","groupAttribution.energyDirection - FEED_IN = true / FEED_OUT = false (MALO_DATA)
groupAttributionloadProfileMethod (LOAD_PROFILE_DATA)",EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,371,CAV,C,R,99,1,4,Normiertes Profil,CAV+XXX,Code des normierten Profils,,S,"ausgehend:

bilanzierung.lastprofile

eingehend:

bilanzierung..datenDerBeteiligtenMarktrolle.lastprofile","bezeichnung 
herausgeber = ""NB""",,groupAttribution.loadProfileCode,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Profilschardaten,,,,,,,,,,Kann S,Muss S,,,,,,,,,,,Muss S,Muss S,,,,,Muss S,,,,,,,,,,,,,,,,,,,,,,,Muss S,,Muss S,,,,,,,,,Muss,Muss,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss S,Muss S,,,,,,,,,,,,,,,,,,,Muss S,,Muss S,Muss S,,,,,Muss S,,Muss S,Muss S,Muss S,Muss S,,Muss S,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,372,SEQ,M,M,1,1,2,Profilschardaten,SEQ+Z08+2,"Z08 Profilschardaten
Z87 Erwartete Profilschardaten
Z88 Im System vorhandene Profilschardaten
ZG2 Informative Profilschardaten
+
Referenz auf Zeitraum ID",,S,"bei PID 55186 (ausgehend): Datasource = INBOUND

BILANZIERUNG","datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z08 -> N11
Z87 -> ERWARTETE_DATEN
Z88 -> IM_SYSTEM_VORHANDENE_DATEN
ZG2 -> INFORMATIVE_DATEN",,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,373,RFF,C,D,9,1,3,Versionsangabe des Profils,RFF+Z12:XXXXXXXXXXXXXX,Referenz auf ein Profil (Profil-Version),X,S,,referenzProfil,,,LOADPROFILE_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
